"source_id","url","title","source_type","source_family","publisher_group","accessed_at","version_date","evidence_lane","supports","does_not_support","limitations","opened_status"
"TD-PS12-SRC-01","https://owasp.org/www-project-application-security-verification-standard/","OWASP ASVS","professional standard","owasp-asvs","OWASP","2026-08-11","current-at-access","profession-authority","Application security verification controls","Must be tailored to architecture and assurance level","Must be tailored to architecture and assurance level; version and target-system applicability must be rechecked","opened"
"TD-PS12-SRC-02","https://owasp.org/www-project-web-security-testing-guide/","OWASP WSTG","professional guide","owasp-wstg","OWASP","2026-08-11","current-at-access","executable-artifact","Web security test techniques","Not a substitute for threat modeling","Not a substitute for threat modeling; version and target-system applicability must be rechecked","opened"
"TD-PS12-SRC-03","https://owasp.org/API-Security/","OWASP API Security","professional guide","owasp-api","OWASP","2026-08-11","current-at-access","security-governance","API authorization and resource risk classes","Top ten is not exhaustive","Top ten is not exhaustive; version and target-system applicability must be rechecked","opened"
"TD-PS12-SRC-04","https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html","OWASP Authorization cheat sheet","professional guide","owasp-authz","OWASP","2026-08-11","current-at-access","practitioner-failure","Deny-by-default and per-request authorization","Concrete policy remains application-specific","Concrete policy remains application-specific; version and target-system applicability must be rechecked","opened"
"TD-PS12-SRC-05","https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html","OWASP Input Validation","professional guide","owasp-input","OWASP","2026-08-11","current-at-access","executable-artifact","Syntactic and semantic validation","Validation alone does not stop all injection","Validation alone does not stop all injection; version and target-system applicability must be rechecked","opened"
"TD-PS12-SRC-06","https://www.rfc-editor.org/rfc/rfc6749.html","OAuth 2.0 RFC 6749","standard","oauth","IETF","2026-08-11","current-at-access","profession-authority","OAuth roles grants and token flows","Security BCP updates must also be considered","Security BCP updates must also be considered; version and target-system applicability must be rechecked","opened"
"TD-PS12-SRC-07","https://www.rfc-editor.org/rfc/rfc9700.html","OAuth 2.0 Security BCP RFC 9700","standard","oauth-security","IETF","2026-08-11","current-at-access","counterevidence","Current OAuth threat mitigations","Does not define application authorization","Does not define application authorization; version and target-system applicability must be rechecked","opened"
"TD-PS12-SRC-08","https://csrc.nist.gov/Projects/ssdf","NIST SSDF","government framework","nist-ssdf","NIST","2026-08-11","current-at-access","market-demand","Secure development practice outcomes","Not a penetration test plan","Not a penetration test plan; version and target-system applicability must be rechecked","opened"
"TD-PS12-SRC-09","https://cwe.mitre.org/top25/","MITRE CWE Top 25","government taxonomy","cwe","MITRE","2026-08-11","current-at-access","ai-capability","Common dangerous weakness taxonomy","Ranking does not equal target risk","Ranking does not equal target risk; version and target-system applicability must be rechecked","opened"
"TD-PS12-SRC-10","https://www.w3.org/TR/trace-context/","W3C Trace Context","standard","security-tracing","W3C","2026-08-11","current-at-access","security-governance","Cross-boundary trace correlation","Trace headers require abuse controls","Trace headers require abuse controls; version and target-system applicability must be rechecked","opened"
