source_id,lane,title,authority,url,accessed_at,claim_use,limitation
E01,standards,ISTQB Certified Tester AI Testing Syllabus v2.0,ISTQB,https://istqb.org/wp-content/uploads/2026/05/ISTQB-_CTAI_Syllabus_v2.0_Release.pdf,2026-08-12,"AI lifecycle; data; classification metrics; AI quality characteristics; testing methods; drift; API and security","Certification syllabus; does not define enterprise thresholds"
E02,standards,ISO IEC 25059:2023 Quality model for AI systems,ISO,https://www.iso.org/standard/80655.html,2026-08-12,"consistent AI system quality vocabulary and quality model","Official page summarizes scope; full standard text is not reproduced"
E03,standards,NIST AI RMF Measure,NIST,https://airc.nist.gov/airmf-resources/airmf/5-sec-core/,2026-08-12,"deployment-context TEVV; metrics tied to risk; independent assessment; monitoring","Risk framework; not a fixed metric catalog or acceptance threshold"
E04,standards,NIST AI 600-1 Generative AI Profile,NIST,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,2026-08-12,"GenAI risk measurement; human and automated evaluation; adversarial testing","Profile requires contextualization; not a product certification"
E05,standards,OpenAPI Specification 3.2.0,OpenAPI Initiative,https://spec.openapis.org/oas/latest.html,2026-08-12,"language-neutral API contract and testing input","Schema does not prove business semantics or side effects"
E06,standards,OWASP API Security Top 10 2023,OWASP,https://owasp.org/API-Security/editions/2023/en/0x10-api-security-risks/,2026-08-12,"API authorization; resource; flow; SSRF; inventory; unsafe consumption risks","Risk list; project-specific threat model still required"
E07,official-tool,scikit-learn f1_score documentation,scikit-learn,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.f1_score.html,2026-08-12,"F1 definition and averaging behavior","Library semantics; metric choice remains business- and class-cost-dependent"
E08,primary-research,ROUGE: A Package for Automatic Evaluation of Summaries,ACL Anthology,https://aclanthology.org/W04-1013/,2026-08-12,"reference-overlap summarization metrics","Overlap is an auxiliary signal and does not prove factuality"
E09,primary-research,BERTScore: Evaluating Text Generation with BERT,Original authors,https://arxiv.org/abs/1904.09675,2026-08-12,"semantic similarity metric for text generation","Model- and language-dependent; not a business oracle"
E10,primary-research,RAGAS: Automated Evaluation of Retrieval Augmented Generation,ACL Anthology,https://aclanthology.org/2024.eacl-demo.16/,2026-08-12,"separate retrieval context; faithful use; generation quality","Automated scores require domain calibration and traceable data"
