source_id,title,source_type,evidence_lane,source_family,url,version_date,accessed_at,opened_status,supports,does_not_support,limitations,publisher_group
"ATL-REST","Jira REST v3 intro","official API docs","technical-protocol","atlassian-rest","https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","atlassian-rest"
"ATL-ISSUES","Jira issue operations","official API reference","implementation","atlassian-issues","https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issues/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","atlassian-issues"
"ATL-TRANS","Jira transitions API","official API reference","implementation","atlassian-transitions","https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-transitions/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","atlassian-transitions"
"ATL-WEBHOOK","Jira platform webhooks","official technical guide","failure-boundary","atlassian-webhooks","https://developer.atlassian.com/cloud/jira/platform/webhooks/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","atlassian-webhooks"
"ATL-SW-WEBHOOK","Jira Software webhooks","official technical guide","technical-protocol","atlassian-software","https://developer.atlassian.com/cloud/jira/software/webhooks/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","atlassian-software"
"CE","CloudEvents core spec","open standard","standards","cncf-cloudevents","https://github.com/cloudevents/spec/blob/main/cloudevents/spec.md","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","cncf-cloudevents"
"JS","JSON Schema validation","open standard","metrics-schema","json-schema","https://json-schema.org/draft/2020-12/json-schema-validation","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","json-schema"
"OWASP","OWASP API Security 2023","security guidance","failure-boundary","owasp","https://owasp.org/API-Security/editions/2023/en/0x11-t10/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","owasp"
"W3C","W3C Trace Context","web standard","audit-tracing","w3c","https://www.w3.org/TR/trace-context/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","w3c"
"ATL-LEARN","Jira API tutorial supply","official tutorial","learning-supply","atlassian-learning","https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","atlassian-learning"
