source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
T05-S01,https://istqb.org/wp-content/uploads/2024/11/ISTQB_CTFL_Syllabus_v4.0.1.pdf,ISTQB CTFL v4.0.1,professional-syllabus,istqb-ctfl,istqb,2026-08-11,2024-11,professional-baseline,"test basis analysis risk traceability and test design","AI extraction accuracy","syllabus defines competence not enterprise implementation",opened
T05-S02,https://www.istqb.org/wp-content/uploads/sdm-uploads/ISTQB-CTAL-TA-Syllabus-v4.0-EN-4.pdf,ISTQB Advanced Test Analyst v4,professional-syllabus,istqb-ctal-ta,istqb,2026-08-11,2025,professional-baseline,"entry criteria completeness of test basis and traceability","source precedence policy","same publisher as CTFL and no AI workflow proof",opened
T05-S03,https://git-scm.com/docs/diff-format,Git diff format,official-documentation,git-diff-format,git-scm,2026-08-11,2.55.0,implementation,"stable diff file status hunk and rename semantics","business impact inference","format documentation cannot identify affected runtime dependencies",opened
T05-S04,https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/reviewing-changes-in-pull-requests/reviewing-proposed-changes-in-a-pull-request,Reviewing proposed changes,official-documentation,github-pull-request-review,github,2026-08-11,2026-08,practitioner-workflow,"review uses commits changed files and exact diff lines","AI completeness or defect detection efficacy","workflow documentation is GitHub specific",opened
T05-S05,https://docs.github.com/en/copilot/tutorials/explore-pull-requests,Using Copilot to explore pull requests,official-documentation,github-copilot-pr,github,2026-08-11,2026-08,ai-technical,"AI can summarize and explain PR changes with diff context","complete risk discovery or Oracle correctness","vendor feature documentation requires human review",opened
T05-S06,https://playwright.dev/docs/test-agents,Playwright Test Agents,official-documentation,playwright-test-agents,microsoft-playwright,2026-08-11,2026-08,implementation,"planner generator healer split and auditable generated files","mutation strength or universal workflow","browser-oriented implementation changes quickly",opened
T05-S07,https://developers.openai.com/api/docs/guides/evals,Working with evals,official-documentation,openai-evals-guide,openai,2026-08-11,2026-08,metrics-method,"versioned evaluation data and explicit criteria","software requirement authority or production efficacy","provider documentation is not independent outcome evidence",opened
T05-S08,https://docs.github.com/en/code-security/concepts/code-scanning/codeql/codeql-cli,CodeQL CLI,official-documentation,github-codeql-cli,github,2026-08-11,2026-08,implementation,"queryable code analysis and database construction for changed code context","business risk priority or runtime coverage","static analysis has language and query coverage limits",opened
T05-S09,https://testing.googleblog.com/2024/05/test-failures-should-be-actionable.html,Test Failures Should Be Actionable,practitioner-article,google-testing-actionable,google,2026-08-11,2024-05,failure-counterevidence,"test evidence must support diagnosis and action","specific AI prompt design","organizational advice does not prove this fixture generalizes",opened
T05-S10,https://docs.github.com/en/copilot/responsible-use,Responsible use of GitHub Copilot,official-documentation,github-copilot-responsible,github,2026-08-11,2026-08,failure-counterevidence,"generated suggestions require review and may be inaccurate","specific test risk scoring threshold","vendor-wide caution is not a testing method",opened
T05-S11,https://www.onetonline.org/link/summary/15-1253.00,Software QA Analysts and Testers,government-occupation-record,onet-software-qa,us-dol,2026-08-11,2026,professional-baseline,"occupation includes requirements review risk and defect evidence work","team-specific responsibility or AI effectiveness","US occupation scope requires local role calibration",opened
T05-S12,https://www.ministryoftesting.com/media-sessions/ai-driven-testing-in-practice-from-requirements-to-reliable-automation,AI driven testing in practice,practitioner-session,mot-ai-testing-session,ministry-of-testing,2026-08-11,2026,learner-supply,"practitioner teaching demand for requirements to automation traceability","measured learner or production outcomes","session page offers limited reproducible evidence",opened
