"source_id","url","title","source_type","source_family","publisher_group","accessed_at","version_date","evidence_lane","supports","does_not_support","limitations","opened_status"
"TD-AP05-K6-OPEN","https://grafana.com/docs/k6/latest/using-k6/scenarios/concepts/open-vs-closed/","Open and closed models","official documentation","k6-load-model","Grafana","2026-08-11","current-at-access","load-method","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-K6-ARRIVAL","https://grafana.com/docs/k6/latest/using-k6/scenarios/executors/constant-arrival-rate/","Constant arrival rate executor","official implementation guide","k6-arrival","Grafana","2026-08-11","current-at-access","implementation","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-NVIDIA-METRICS","https://docs.nvidia.com/nim/benchmarking/llm/latest/metrics.html","NIM LLM benchmarking metrics","official metric reference","nvidia-nim","NVIDIA","2026-08-11","current-at-access","metric-semantics","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-VLLM-METRICS","https://docs.vllm.ai/en/latest/design/metrics/","vLLM metrics","official implementation reference","vllm-metrics","vLLM","2026-08-11","current-at-access","implementation","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-OTEL-TRACE","https://opentelemetry.io/docs/concepts/signals/traces/","OpenTelemetry traces","open standard documentation","otel-trace","OpenTelemetry","2026-08-11","current-at-access","trace-semantics","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-OTEL-AGENT","https://github.com/open-telemetry/semantic-conventions-genai/blob/main/docs/gen-ai/gen-ai-agent-spans.md","GenAI agent span conventions","development specification","otel-genai-agent","OpenTelemetry GenAI","2026-08-11","current-at-access","trace-semantics","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-PROM-HIST","https://prometheus.io/docs/practices/histograms/","Prometheus histograms and summaries","official operational guide","prometheus-histogram","Prometheus","2026-08-11","current-at-access","metric-semantics","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-SRE-MON","https://sre.google/sre-book/monitoring-distributed-systems/","Monitoring distributed systems","professional reliability book","google-sre-monitoring","Google SRE","2026-08-11","current-at-access","profession-authority","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-SRE-CASCADE","https://sre.google/sre-book/addressing-cascading-failures/","Addressing cascading failures","professional reliability book","google-sre-cascade","Google SRE","2026-08-11","current-at-access","failure-boundary","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-SRE-SLO","https://sre.google/workbook/implementing-slos/","Implementing SLOs","professional workbook","google-sre-slo","Google SRE","2026-08-11","current-at-access","governance","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-SRE-ALERT","https://sre.google/workbook/alerting-on-slos/","Alerting on SLOs","professional workbook","google-sre-alert","Google SRE","2026-08-11","current-at-access","learning-supply","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-AWS-RETRY","https://builder.aws.com/content/3EumjoZascWd1oZiEgL8ORlv3qE/timeouts-retries-and-backoff-with-jitter","Timeouts retries and backoff with jitter","professional implementation essay","aws-retry","AWS","2026-08-11","current-at-access","failure-boundary","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-PY-TRACEMALLOC","https://docs.python.org/3/library/tracemalloc.html","tracemalloc allocation tracing","language standard library documentation","python-tracemalloc","Python","2026-08-11","current-at-access","learning-supply","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-VLLM-LEAK","https://github.com/vllm-project/vllm/issues/28726","Unbounded CPU memory growth issue","practitioner failure report","vllm-issue-memory","vLLM issue tracker","2026-08-11","current-at-access","practitioner-failure","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
"TD-AP05-OTEL-GAP","https://github.com/open-telemetry/semantic-conventions-genai/issues/94","Agent workflow grouping gap","standards issue evidence","otel-agent-gap","OpenTelemetry GenAI issue tracker","2026-08-11","current-at-access","counterevidence","supports the TD-AP05 decision and evidence model","does not establish a production capacity number or universal threshold","public or issue evidence; target-system execution and organizational authority remain required","opened"
