source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
W3-01,https://developers.openai.com/api/reference/resources/evals/methods/create,OpenAI Evals API,official-api,implementation,OpenAI,2026-08-11,2026-08-11,implementation,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from implementation,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-02,https://github.com/EleutherAI/lm-evaluation-harness,Language Model Evaluation Harness,repository,benchmark-harness,EleutherAI,2026-08-11,2026-08-11,benchmark-harness,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from benchmark-harness,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-03,https://crfm-helm.readthedocs.io/en/stable/,HELM documentation,official-docs,benchmark-harness,Stanford CRFM,2026-08-11,2026-08-11,benchmark-harness,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from benchmark-harness,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-04,https://github.com/swe-bench/SWE-bench,SWE-bench repository,repository,task-benchmark,SWE-bench,2026-08-11,2026-08-11,task-benchmark,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from task-benchmark,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-05,https://arxiv.org/abs/2310.06770,SWE-bench paper,paper,task-benchmark,Princeton/Chicago,2026-08-11,2023-10-10,task-benchmark,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from task-benchmark,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-06,https://arxiv.org/abs/2308.03688,AgentBench paper,paper,agent-benchmark,Tsinghua et al.,2026-08-11,2023-08-07,agent-benchmark,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from agent-benchmark,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-07,https://www.nist.gov/itl/ai-risk-management-framework,NIST AI RMF,government-guidance,governance,NIST,2026-08-11,2026-08-11,governance,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from governance,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-08,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,NIST Generative AI Profile,government-publication,governance,NIST,2026-08-11,2024-07-26,governance,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from governance,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-09,https://research.google/pubs/whats-your-ml-test-score-a-rubric-for-ml-production-systems/,ML Test Score,paper,production-quality,Google Research,2026-08-11,2016-12-09,production-quality,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from production-quality,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-10,https://opentelemetry.io/docs/specs/semconv/gen-ai/,OpenTelemetry GenAI semantic conventions,official-spec,observability,OpenTelemetry,2026-08-11,2026-08-11,observability,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from observability,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-11,https://airc.nist.gov/airmf-resources/airmf/5-sec-core/,NIST AI RMF Core,government-guidance,governance,NIST AIRC,2026-08-11,2026-08-11,governance,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from governance,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
W3-12,https://opentelemetry.io/blog/2026/genai-observability/,GenAI observability walkthrough,official-article,observability,OpenTelemetry,2026-08-11,2026-05-14,observability,Supports 单变量实验、锁定 Manifest、paired task flips 与资源差异 from observability,Does not establish 一次只归因一个协议变量；多变量变化输出 CONFOUNDED。 as universal production policy,公开 Harness 与真实模型适配器均未运行。 Source bounded to stated system.,opened
