source_catalog,source_id,source_title,canonical_ids,relation,source_delivery_status,source_evidence_maturity,coverage_decision,notes
topic-system-105,TD-000,AI 时代测试开发的责任边界,TD-000,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-001,测试对象为什么从代码扩展到 AI 系统,TD-001,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-002,传统测试能力入场检查,TD-002,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-003,三条岗位路线,TD-003,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-101,需求可测性与验收条件,TD-101,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-102,风险驱动测试策略,TD-102,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-103,用例设计与 Oracle,TD-103,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-104,测试数据与环境,TD-104,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-105,自动化分层,TD-105,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-106,执行、证据与缺陷诊断,TD-106,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-107,发布、Waiver 与回滚,TD-107,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-108,生产质量闭环,TD-108,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-201,从训练到推理,TD-201,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-202,Token、Context 与 Attention,TD-202,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-203,概率生成与采样,TD-203,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-204,Prompt 与结构化输出,TD-204,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-205,Embedding 与向量检索,TD-205,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-206,RAG 最小架构,TD-206,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-207,Tool Calling,TD-207,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-208,Agent、Worker 与 Workflow,TD-208,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-209,Memory、State 与 Trace,TD-209,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-210,AI 能力边界,TD-210,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-301,AI 解析 PRD,TD-301,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-302,AI 审查架构与代码 Diff,TD-302,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-303,AI 生成测试场景,TD-303,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-304,AI 生成边界、组合与 Fuzz 数据,TD-304,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-305,AI 生成单元与组件测试,TD-305,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-306,AI 生成 API/契约测试,TD-306,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-307,AI 生成 UI/E2E 测试,TD-307,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-308,AI 测试 Agent,TD-308,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-309,AI 分析失败与日志,TD-309,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-310,AI 生成发布报告,TD-310,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-401,LLM 测试任务定义,TD-401,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-402,确定性与语义 Oracle,TD-402,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-403,事实性、相关性与完整性,TD-403,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-404,拒答与安全边界,TD-404,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
topic-system-105,TD-405,Prompt/模型 A/B,TD-405,canonical-source,planned,unmeasured,retain,source topic remains canonical; publication requires an independent package
