source_id,title,source_type,evidence_lane,source_family,url,version_date,accessed_at,opened_status,supports,does_not_support,limitations,publisher_group
"S-ISTQB-CTFL","ISTQB CTFL Syllabus v4.0.1","professional syllabus","profession-authority","istqb","https://istqb.org/wp-content/uploads/2024/11/ISTQB_CTFL_Syllabus_v4.0.1.pdf","4.0.1","2026-08-11","opened","test basis traceability risk techniques and test process; Impact Set and Evidence Pack","organization-specific authority or production effectiveness","syllabus scope","istqb"
"S-ISTQB-TA","ISTQB Advanced Test Analyst Syllabus","professional syllabus","profession-authority","istqb-advanced","https://www.istqb.org/wp-content/uploads/sdm-uploads/ISTQB-CTAL-TA-Syllabus-v4.0-EN.pdf","4.0","2026-08-11","opened","risk analysis test design and oracle practice; Impact Set and Evidence Pack","enterprise policy or AI prompt quality","advanced syllabus scope","istqb-advanced"
"S-ISO-29148","ISO IEC IEEE 29148 requirements engineering","standard","standards","iso","https://www.iso.org/standard/72089.html","2018","2026-08-11","opened","requirements information items characteristics and traceability; Impact Set and Evidence Pack","full licensed clauses or local authority order","public standard page","iso"
"S-NASA-SE","NASA Systems Engineering Handbook","government handbook","implementation-practice","nasa","https://www.nasa.gov/wp-content/uploads/2018/09/nasa_systems_engineering_handbook_0.pdf","rev2","2026-08-11","opened","baseline interfaces verification validation and configuration control; Impact Set and Evidence Pack","commercial team workflow effectiveness","systems engineering context","nasa"
"S-NASA-SWE050","NASA SWE-050 Software Requirements","government handbook","failure-and-governance","nasa-swe","https://swehb.nasa.gov/spaces/SWEHBVB/pages/32604503/SWE-050%2BSoftware%2BRequirements","current","2026-08-11","opened","software requirement quality and authority expectations; Impact Set and Evidence Pack","business-specific rule decision","NASA handbook context","nasa-swe"
"S-OPENAPI","OpenAPI Specification","technical specification","executable-artifact","openapi","https://spec.openapis.org/oas/latest.html","latest","2026-08-11","opened","versioned interface paths schemas and response contracts; Impact Set and Evidence Pack","business meaning outside the interface","interface scope","openapi"
"S-JSON-SCHEMA","JSON Schema validation specification","technical specification","executable-artifact","json-schema","https://json-schema.org/draft/2020-12/json-schema-validation.html","2020-12","2026-08-11","opened","machine-verifiable structure types enums and required fields; Impact Set and Evidence Pack","semantic truth or source authority","structure validation scope","json-schema"
"S-OPENAI-STRUCT","OpenAI Structured Outputs guide","official documentation","ai-capability","openai","https://developers.openai.com/api/docs/guides/structured-outputs","current","2026-08-11","opened","schema-constrained output and refusal handling; Impact Set and Evidence Pack","business correctness or independent oracle","provider-specific behavior","openai"
"S-OPENAI-EVALS","OpenAI Evals guide","official documentation","evaluation","openai-evals","https://developers.openai.com/api/docs/guides/evals","current","2026-08-11","opened","versioned eval datasets graders and iteration discipline; Impact Set and Evidence Pack","production fitness without representative data","provider-specific guide","openai-evals"
"S-STRYKER","Stryker mutation testing elements","tool documentation","negative-control","stryker","https://stryker-mutator.io/docs/mutation-testing-elements/mutant-states-and-metrics/","current","2026-08-11","opened","mutant states and detection-strength evidence; Impact Set and Evidence Pack","business-rule completeness","mutation tool scope","stryker"
"S-PROMPTFOO","Promptfoo expected outputs","tool documentation","evaluation","promptfoo","https://www.promptfoo.dev/docs/configuration/expected-outputs/","current","2026-08-11","opened","assertions test cases and evaluator configuration; Impact Set and Evidence Pack","enterprise authority or model truth","tool-specific semantics","promptfoo"
"S-PACT","Pact consumer contract testing","tool documentation","implementation-practice","pact","https://docs.pact.io/consumer","current","2026-08-11","opened","consumer expectations and provider contract feedback; Impact Set and Evidence Pack","complete end-to-end business validation","consumer contract scope","pact"

