source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
TD-R01-S01,https://istqb.org/,ISTQB AI testing syllabus,professional syllabus,testing-competency,ISTQB,2026-08-12,current-at-access,profession-authority,layered learning topics and terminology,does not prove a resource is best,current syllabus must be rechecked,opened
TD-R01-S02,https://www.iso.org/standard/42001,ISO 42001 AI management,standard,ai-governance,ISO,2026-08-12,2023,profession-authority,governance learning and accountability,does not guarantee learning outcomes,public summary is limited,opened
TD-R01-S03,https://www.w3.org/TR/WCAG22/,WCAG 2.2,standard,quality-model,W3C,2026-08-12,2023,ai-capability,quality learning reference and criteria,does not certify a learner,practical context remains necessary,opened
TD-R01-S04,https://sre.google/sre-book/service-level-objectives/,SRE SLO,official documentation,reliability,Google SRE,2026-08-12,current-at-access,executable-artifact,resource-to-practice and measurable outcome,does not validate a specific course link,local practice artifact is required,opened
TD-R01-S05,https://principlesofchaos.org/,Principles of Chaos Engineering,standard,chaos,Chaos Community,2026-08-12,current-at-access,practitioner-failure,learning through controlled failure,does not prove resource effectiveness,authorized experiments only,opened
TD-R01-S06,https://www.promptfoo.dev/docs/intro/,Promptfoo introduction,official documentation,eval-tool,Promptfoo,2026-08-12,current-at-access,ai-capability,Prompt/eval practice reference,does not prove current provider behavior,version and provider need checking,opened
TD-R01-S07,https://playwright.dev/docs/test-agents,Playwright test agents,official documentation,automation-tool,Microsoft,2026-08-12,current-at-access,executable-artifact,tool learning path and runnable practice,does not guarantee proficiency,documentation changes by release,opened
TD-R01-S08,https://owasp.org/www-project-application-security-verification-standard/,OWASP ASVS,professional guide,security,OWASP,2026-08-12,current-at-access,practitioner-failure,security learning and verification concepts,does not prove production security,scope must be adapted,opened
TD-R01-S09,https://github.com/microsoft/playwright,Playwright repository,primary repository,automation,Microsoft,2026-08-12,current-at-access,executable-artifact,source and issue-based learning,does not prove maintainer support for this course,repository state changes,opened
TD-R01-S10,https://arxiv.org/,Learning and evaluation research,research paper,learning-research,arXiv,2026-08-12,current-at-access,market-signal,research-informed resource selection,does not prove individual learning effect,paper scope and population vary,opened
