page_id	type	depth_cjk	tables	judgement_table	counterexample	failure_diagnosis	reusable_artifact	learner_design	dup_rate	content_hash	manuscript_hash	projection_hash
TD-F01	guided-lab	6424	7	True	True	True	True	True	0.0	sha256:fff0e27ee43018275a656591745ab1d91d8f3177c21f2f12e0e5aa51914cc8fa	sha256:0f0c34ff4847030bb3053e7027a1710787d9ee12c457da47505864baf3ab9535	sha256:6ec7fd7359333b7f09ee4b2d11264014c738cd3f5ad080dbd42db8906f5e4415
TD-P01	guided-lab	3633	4	True	True	True	True	True	0.0928	sha256:b2d26dfb60f8a48fc88cc7275709de171bce12c4773288484e9b58c548d04e94	sha256:7a7cdfd08d202f994cd3f28dbf67ddb0a3e05c1fbc439b53e6b98ecce27fc2c9	sha256:18a8c071d737a5ced68c9a5e511acf7a32721a113720dc93ddb1ad85fe19e3f2
TD-P02	guided-lab	2983	3	True	True	True	True	True	0.1268	sha256:3658d28a2fb01b44ad067d43ad18be9998ea330d11c23fb5add9821c3fa00e63	sha256:f5a7212d48e546df4ee74e69798e4d1f73cf8b6f1a5268f9ce1381fea5a7951f	sha256:f9ec3c2994cdb9a4bbb64ace0139f01bb70beceb57383ebe735a4ce49657e31a
TD-P03	diagnostic	3276	4	True	True	True	True	True	0.1266	sha256:a5ae98e65572601e3d50fdb178bf02a16f16bf1103841aeb656951379681b1d6	sha256:0d06fa627dcaff9849aa82b5df2943ccafffd5fefad765b99f7fa790a6dbf4c4	sha256:311e3cc8129bf20f96aa09a05c27c9630fc58b96b672d17c8110c40304768114
TD-P04	concept	3210	4	True	True	True	True	True	0.137	sha256:a512f78056c25a91d27b85571af4e0b29319044c0c79f9751f1efb8cb2766bf3	sha256:adf48b39e3a90b7a42d40c35873ddfc5e16b32f3e9a06c9d43022b113946a754	sha256:95089add55f67dae9ff10046d488509ff274004b794b5c7900b2905608ac109c
TD-P05	guided-lab	2922	3	True	True	True	True	True	0.1389	sha256:986e45592a34654022d0228976a2312497bb072752014d8d2d39a8a432d9902e	sha256:814085525bbbb757e0e87b8f3664d351d9e98f88f250be7c85d7e8913000ab22	sha256:d6e28fa79fbed594a138752b39c7e67d2673002062d35e7b859b3d62f236a3f6
TD-P06	guided-lab	3059	4	True	True	True	True	True	0.137	sha256:a3ecd2e459bd62a7f4c19cf42e440b5effdb26c114b070a49d09eeb96f302ad2	sha256:7dffd8e796d6e06bb1777f952973665d48f919178052ac543ae0f15cc5eacc21	sha256:2f90bc60983f16b37027f4a55bc8a08a6dc99b7a9657fc1c676cd1545fb75138
TD-P07	diagnostic	2598	4	True	True	True	True	True	0.1	sha256:929d9dde567ea3024f2524a5aadcfe43a9e9907166a7f2567cad650148816798	sha256:36795ce8701475a4aa9760e6f45e983fb28e7983d875ee6c9a27827a0000deff	sha256:7a3f4078473e1820a4f8e02ce43c9e872b67964805470286a7f20e9b09cc0811
TD-P08	project	2852	3	True	True	True	True	True	0.1	sha256:9b7497bc2a6bcaca314c2d905daf2e8649326e36f2c1d913366861d22afc8478	sha256:8132067e6d7a40aed9fb954b2da89fdc4ee2b7d45d3da0c5838ef09c1af47698	sha256:0e5bc2a908649811740f511271478f4b279e2a52d745f56cfac9eef48e794822
TD-PS01	guided-lab	4745	10	True	True	True	True	True	0.0496	sha256:ec5b5dcc75e86334b4477b978bb1810a5035ec35cf0804281429135daba2f56a	sha256:a96fc4360e95b2fc3fc25e156142e40062bafc9de469ac029ec4d9852871007c	sha256:161ff737874bf46d9c729e2ffd219a06cf695387852f33143164356c4d9a80bb
