source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
S01,https://playwright.dev/docs/test-agents,Playwright Test Agents,official documentation,playwright-docs,microsoft-playwright,2026-08-12T00:00:00+08:00,2025-2026,ai-primary,Agent 测试规划/生成/修复的官方能力边界,不支持本课程生产效果或学习成效,官方文档可能随版本更新,opened
S03,https://www.promptfoo.dev/docs/intro/,Promptfoo Introduction,official documentation,promptfoo-docs,promptfoo,2026-08-12T00:00:00+08:00,2025-2026,ai-primary,LLM eval、红队与 CLI 契约形态,不证明业务 Oracle 或生产安全,产品文档不是独立实测,opened
S04,https://deepeval.com/docs/introduction,DeepEval Introduction,official documentation,deepeval-docs,confident-ai,2026-08-12T00:00:00+08:00,2025-2026,ai-primary,LLM/RAG/Agent 指标和 pytest 集成,指标不能替代领域 owner,官方能力声明需项目适配,opened
S07,https://airc.nist.gov/airmf-resources/airmf/5-sec-core/,NIST AI RMF Core,standard,nist-ai-rmf,nist,2026-08-12T00:00:00+08:00,2025-2026,profession-authority,风险治理、责任和可追溯原则,不提供本课程 Agent fixture 结果,规范原则需场景解释,opened
S08,https://genai.owasp.org/resource/owasp-top-10-for-llm-applications-2025/,OWASP LLM Top 10,standard,owasp-llm-top10,owasp,2026-08-12T00:00:00+08:00,2025-2026,practitioner-failure,Prompt injection、过度代理和供应链风险类别,分类不等于本系统漏洞证明,版本与风险清单需持续核对,opened
S10,https://docs.langchain.com/langsmith/evaluation-approaches,LangSmith Evaluation Approaches,official documentation,langsmith-docs,langchain,2026-08-12T00:00:00+08:00,2025-2026,ai-primary,离线/在线评估和轨迹评估的产品机制,不支持模型质量或线上指标外推,平台文档有厂商视角,opened
S13,https://www.ministryoftesting.com/insights/a-practical-introduction-to-testing-llms,Practical Introduction to Testing LLMs,practitioner article,mot-llm-testing,ministry-of-testing,2026-08-12T00:00:00+08:00,2025-2026,practitioner-failure,测试 LLM 的风险、Oracle 与实践问题,不能当作统计或生产保证,实践观点需与标准交叉验证,opened
S23,https://istqb.org/wp-content/uploads/2026/05/ISTQB-_CTAI_Syllabus_v2.0_Release.pdf,ISTQB CTAI Syllabus,professional syllabus,istqb-ctai-v2,istqb,2026-08-12T00:00:00+08:00,2025-2026,profession-authority,测试职业能力、AI 辅助测试与人类责任,不证明本页学习者达成能力,课程大纲不是从业者评审,opened
S24,https://research.google/pubs/the-ml-test-score-a-rubric-for-ml-production-readiness-and-technical-debt-reduction/,The ML Test Score,research paper,ml-test-score-paper,google-research,2026-08-12T00:00:00+08:00,2025-2026,counterevidence,生产准备度、测试债务和多维检查,不是 Agent 专用阈值,论文指标需重新定义分母,opened
S36,https://github.com/EleutherAI/lm-evaluation-harness,LM Evaluation Harness,primary repository,lm-eval-repository,eleutherai,2026-08-12T00:00:00+08:00,2025-2026,github-artifact,可复现评测 harness、任务和结果保存,仓库 smoke 不等于课程生产验证,需锁 commit/依赖和数据版本,opened
