source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
TD-C04-S01,https://istqb.org/,ISTQB AI testing syllabus,professional syllabus,testing-competency,ISTQB,2026-08-12,current-at-access,profession-authority,role and competency vocabulary,does not define any company's P5-P9,syllabus is not an HR policy,opened
TD-C04-S02,https://www.iso.org/standard/42001,ISO 42001 AI management,standard,ai-governance,ISO,2026-08-12,2023,profession-authority,accountability and governance ownership,does not map a person to a band,public summary is limited,opened
TD-C04-S03,https://www.w3.org/TR/WCAG22/,WCAG 2.2,standard,quality-model,W3C,2026-08-12,2023,ai-capability,quality evidence and impact thinking,does not prove promotion readiness,target user context remains required,opened
TD-C04-S04,https://sre.google/sre-book/service-level-objectives/,SRE SLO,official documentation,reliability,Google SRE,2026-08-12,current-at-access,executable-artifact,owner and threshold review patterns,does not define job titles,thresholds must be calibrated locally,opened
TD-C04-S05,https://principlesofchaos.org/,Principles of Chaos Engineering,standard,chaos,Chaos Community,2026-08-12,current-at-access,practitioner-failure,controlled failure and recovery responsibility,does not certify seniority,authorized scope is unknown,opened
TD-C04-S06,https://www.promptfoo.dev/docs/intro/,Promptfoo introduction,official documentation,eval-tool,Promptfoo,2026-08-12,current-at-access,ai-capability,versioned evaluation controls,does not authorize policy inference,tool release may drift,opened
TD-C04-S07,https://playwright.dev/docs/test-agents,Playwright test agents,official documentation,automation-tool,Microsoft,2026-08-12,current-at-access,executable-artifact,observable artifact ownership,does not prove P6 or P9,generated work still needs review,opened
TD-C04-S08,https://owasp.org/www-project-application-security-verification-standard/,OWASP ASVS,professional guide,security,OWASP,2026-08-12,current-at-access,practitioner-failure,risk ownership and verification evidence,does not define promotions,controls need system-specific tailoring,opened
TD-C04-S09,https://github.com/microsoft/playwright,Playwright repository,primary repository,automation-tool,Microsoft,2026-08-12,current-at-access,executable-artifact,inspectable implementation ownership,does not establish an employer rubric,repository state changes,opened
TD-C04-S10,https://arxiv.org/,Career and evaluation research,research paper,career-research,arXiv,2026-08-12,current-at-access,market-signal,comparative research questions,does not establish a universal level threshold,papers vary in population and methods,opened
