artifact_id,source_id,repo_url,commit_or_tag,license,last_commit_at,release_or_commit_url,issues_url,ci_url,setup_command,smoke_command,run_status,run_at,exit_code,evidence_path,selected_for_lab,limitations
GH01,S05,https://github.com/openai/evals,v0.1.1,NOASSERTION,2026-04-14T15:29:57Z,https://github.com/openai/evals/releases/tag/v0.1.1,https://github.com/openai/evals/issues,https://github.com/openai/evals/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,仓库许可证未被自动判定，且更新已放缓；作为结构参考使用，不作为当前推荐运行时。
GH02,S100,https://github.com/github/codeql,v1.27.0,MIT,2026-08-14T03:05:07Z,https://github.com/github/codeql/releases/tag/v1.27.0,https://github.com/github/codeql/issues,https://github.com/github/codeql/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,分析基于可编译的代码视图，动态特性、反射与运行时配置之外的路径不可见。
GH03,S101,https://github.com/sigstore/cosign,v3.1.3,Apache-2.0,2026-08-13T18:25:42Z,https://github.com/sigstore/cosign/releases/tag/v3.1.3,https://github.com/sigstore/cosign/issues,https://github.com/sigstore/cosign/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,签名验证的是绑定关系与来源，不评价被绑定证据本身的质量。一份没有检测力的测试报告，签名之后仍然是一份没有检测力的测试报告，只是现在可以确定它没被篡改过。
GH04,S102,https://github.com/dbt-labs/dbt-core,v1.9.11,Apache-2.0,2026-08-14T05:48:03Z,https://github.com/dbt-labs/dbt-core/releases/tag/v1.9.11,https://github.com/dbt-labs/dbt-core/issues,https://github.com/dbt-labs/dbt-core/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,内建测试只覆盖结构性约束。业务口径错误（同一指标两处定义不一致）不会被它检出。
GH05,S103,https://github.com/debezium/debezium,v3.7.0.Alpha2,Apache-2.0,2026-08-13T14:05:01Z,https://github.com/debezium/debezium/releases/tag/v3.7.0.Alpha2,https://github.com/debezium/debezium/issues,https://github.com/debezium/debezium/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,CDC 是至少一次投递，事件可能重复与乱序。把 CDC 流直接当成对账真值而不做去重与排序，会得到错误结论。
GH06,S104,https://github.com/confident-ai/deepeval,v4.1.7,Apache-2.0,2026-08-13T08:53:41Z,https://github.com/confident-ai/deepeval/releases/tag/v4.1.7,https://github.com/confident-ai/deepeval/issues,https://github.com/confident-ai/deepeval/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,指标默认阈值是框架给的示例值，不是你业务的验收线。
GH07,S105,https://github.com/stanfordnlp/dspy,3.3.0,MIT,2026-08-14T04:15:25Z,https://github.com/stanfordnlp/dspy/releases/tag/3.3.0,https://github.com/stanfordnlp/dspy/issues,https://github.com/stanfordnlp/dspy/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,优化目标就是你给的指标。指标写错时，它会非常高效地把系统优化到错误方向。
GH08,S106,https://github.com/treeverse/dvc,3.67.1,Apache-2.0,2026-08-10T18:51:13Z,https://github.com/treeverse/dvc/releases/tag/3.67.1,https://github.com/treeverse/dvc/issues,https://github.com/treeverse/dvc/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,版本可追不代表数据集设计合理；污染与分布偏移不会因为版本化而消失。
GH09,S107,https://github.com/evidentlyai/evidently,v0.7.21,Apache-2.0,2026-08-05T16:29:57Z,https://github.com/evidentlyai/evidently/releases/tag/v0.7.21,https://github.com/evidentlyai/evidently/issues,https://github.com/evidentlyai/evidently/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,漂移不等于质量下降，反之亦然。它是调查触发器，不能直接作为阻断门禁。
GH10,S108,https://github.com/NVIDIA/garak,v0.16.0,Apache-2.0,2026-08-13T21:11:21Z,https://github.com/NVIDIA/garak/releases/tag/v0.16.0,https://github.com/NVIDIA/garak/issues,https://github.com/NVIDIA/garak/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,探测覆盖的是已知攻击模式库，且模型行为具随机性——单次未命中不等于不存在。结论必须带重复次数与命中率，不能报「已通过」。
GH11,S109,https://github.com/cucumber/common,gherkin/go/v24.1.0,MIT,2026-05-17T15:53:30Z,https://github.com/cucumber/common/releases/tag/gherkin/go/v24.1.0,https://github.com/cucumber/common/issues,https://github.com/cucumber/common/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,格式正确不等于规则正确。写成 Gherkin 的错误需求仍然是错误需求，权威裁决这一步无法被格式替代。
GH12,S110,https://github.com/fivetran/great_expectations,1.20.0,Apache-2.0,2026-08-13T14:45:30Z,https://github.com/fivetran/great_expectations/releases/tag/1.20.0,https://github.com/fivetran/great_expectations/issues,https://github.com/fivetran/great_expectations/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,expectation 是你写的假设。数据漂移到一个你没想到的形态时，全绿只说明你没问那个问题。
GH13,S111,https://github.com/stanford-crfm/helm,v0.5.16,Apache-2.0,2026-08-01T01:23:17Z,https://github.com/stanford-crfm/helm/releases/tag/v0.5.16,https://github.com/stanford-crfm/helm/issues,https://github.com/stanford-crfm/helm/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,覆盖的是公开场景，不覆盖你的业务分布。榜单名次不能迁移到企业任务上。
GH14,S112,https://github.com/HypothesisWorks/hypothesis,v6.165.6,NOASSERTION,2026-08-14T05:55:33Z,https://github.com/HypothesisWorks/hypothesis/releases/tag/v6.165.6,https://github.com/HypothesisWorks/hypothesis/issues,https://github.com/HypothesisWorks/hypothesis/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,属性本身仍然要人写。工具不知道你的系统有哪些不变量；写不出属性时，Hypothesis 只是一个更贵的随机测试。
GH15,S113,https://github.com/in-toto/attestation,v1.2.0,NOASSERTION,2026-08-14T00:52:29Z,https://github.com/in-toto/attestation/releases/tag/v1.2.0,https://github.com/in-toto/attestation/issues,https://github.com/in-toto/attestation/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,声明可验证不代表声明的内容为真。签名保证的是「谁说的、没被改过」，不保证测试本身有检测力。
GH16,S114,https://github.com/UKGovernmentBEIS/inspect_ai,release/2025-11-28,MIT,2026-08-13T21:12:36Z,https://github.com/UKGovernmentBEIS/inspect_ai/releases/tag/release/2025-11-28,https://github.com/UKGovernmentBEIS/inspect_ai/issues,https://github.com/UKGovernmentBEIS/inspect_ai/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,框架不提供判据。scorer 写得对不对、数据集有没有覆盖你的风险切片，框架一概不管，全绿只说明流程跑通了。
GH17,S115,https://github.com/python-jsonschema/jsonschema,v4.26.0,MIT,2026-08-10T18:39:11Z,https://github.com/python-jsonschema/jsonschema/releases/tag/v4.26.0,https://github.com/python-jsonschema/jsonschema/issues,https://github.com/python-jsonschema/jsonschema/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,校验通过只说明形状对。LLM 返回一个字段齐全、类型正确但内容编造的 JSON，Schema 校验会放行。
GH18,S116,https://github.com/grafana/k6,v2.2.0,AGPL-3.0,2026-08-14T03:02:33Z,https://github.com/grafana/k6/releases/tag/v2.2.0,https://github.com/grafana/k6/issues,https://github.com/grafana/k6/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,工具产出的是客户端观测。真实容量还取决于依赖、缓存命中、数据规模与限流策略；任何教学阈值都不能照抄。
GH19,S117,https://github.com/langfuse/langfuse,v4.10.0,NOASSERTION,2026-08-14T03:23:15Z,https://github.com/langfuse/langfuse/releases/tag/v4.10.0,https://github.com/langfuse/langfuse/issues,https://github.com/langfuse/langfuse/actions,see upstream README,see upstream README,metadata-only,not-run,not-run,not-run,false,记录不等于判断。平台里的 score 仍来自你配置的评测器，评测器本身的可信度需要单独证明。
