source_id,title,source_type,evidence_lane,source_family,url,version_date,accessed_at,opened_status,supports,does_not_support,limitations,publisher_group
SRC-01,OpenAI Graders API,official documentation,evaluation-contract,openai-graders,https://developers.openai.com/api/reference/resources/graders,current,2026-08-11,opened,官方 grader 类型与评分接口形状；用于回答 TD-T15 的控制问题,不证明任何 grader 在本业务域准确,接口随版本变化且需另行运行,OpenAI
SRC-02,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,research paper,judge-benchmark,mtbench-paper,https://arxiv.org/abs/2306.05685,2023-06,2026-08-11,opened,模型 Judge 与人工偏好的经验比较；用于回答 TD-T15 的控制问题,不提供本课程场景的生产阈值,基准与模型代际有限,LMSYS
SRC-03,G-Eval: NLG Evaluation using GPT-4 with Better Human Alignment,research paper,judge-method,geval-paper,https://arxiv.org/abs/2303.16634,2023-03,2026-08-11,opened,结构化步骤和评分表可改善评测一致性；用于回答 TD-T15 的控制问题,不消除自偏好或事实错误,论文实验域有限,Microsoft Research
SRC-04,Large Language Models are not Fair Evaluators,counterevidence,judge-bias,position-bias-paper,https://arxiv.org/abs/2406.07791,2024-06,2026-08-11,opened,位置偏差与顺序翻转风险；用于回答 TD-T15 的控制问题,不代表所有 Judge 必然同幅度偏置,实验设置与业务不同,Academic authors
SRC-05,LLM Evaluators Recognize and Favor Their Own Generations,research paper,counterevidence,self-preference-paper,https://proceedings.neurips.cc/paper_files/paper/2023/file/91f18a1287b398d378ef22505bf41832-Paper-Datasets_and_Benchmarks.pdf,2023,2026-08-11,opened,自偏好风险需要独立 expected 与人工权力；用于回答 TD-T15 的控制问题,不直接给出企业发布规则,研究模型和任务有边界,NeurIPS
SRC-06,NIST AI RMF Generative AI Profile,standard,risk-governance,nist-genai,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,2024-07,2026-08-11,opened,风险分层、治理和测量应与使用情境绑定；用于回答 TD-T15 的控制问题,不提供具体课程代码实现,框架需组织落地,NIST
SRC-07,Playwright Test Agents,official documentation,agent-workflow,playwright-agents,https://playwright.dev/docs/test-agents,current,2026-08-11,opened,planner、generator、healer 分工和可执行测试链；用于回答 TD-T15 的控制问题,不证明生成测试业务 Oracle 正确,工具文档不是独立效果评估,Microsoft Playwright
SRC-08,LangGraph Interrupts,official documentation,human-authority,langgraph-interrupts,https://docs.langchain.com/oss/python/langgraph/interrupts,current,2026-08-11,opened,关键动作前暂停、外部批准、恢复与幂等要求；用于回答 TD-T15 的控制问题,不等于企业审批策略已实现,框架语义需结合持久层,LangChain
SRC-09,OpenAI Agents SDK Handoffs,official documentation,agent-control,openai-handoffs,https://openai.github.io/openai-agents-python/handoffs/,current,2026-08-11,opened,handoff 作为工具及输入过滤边界；用于回答 TD-T15 的控制问题,不证明多 Agent 优于单 Agent,SDK 语义随版本变化,OpenAI
SRC-10,WebArena paper,research paper,browser-benchmark,webarena-paper,https://arxiv.org/abs/2307.13854,2023-07,2026-08-11,opened,真实可复现 Web 环境与端到端 Agent 任务；用于回答 TD-T15 的控制问题,不代表企业页面和权限模型,基准环境与生产不同,Carnegie Mellon University
SRC-11,WebArena repository,primary repository,reproducibility,webarena-repo,https://github.com/web-arena-x/webarena,current,2026-08-11,opened,基准环境、任务与复现实物；用于回答 TD-T15 的控制问题,仓库存在不等于本地已成功部署,依赖和版本需另行验证,web-arena-x
SRC-12,OWASP Sensitive Information Disclosure,standard,security,owasp-sensitive,https://genai.owasp.org/llmrisk/llm022025-sensitive-information-disclosure/,2025,2026-08-11,opened,敏感信息泄露威胁与外部控制必要性；用于回答 TD-T15 的控制问题,不提供特定系统的合规结论,风险清单需结合资产分类,OWASP


